==== RUN-LEVEL RESULTS ====
Run,BestFitness,TimeSec,Feasible?,Violations,BestUnfitness
1,34536.0,4.67123,False,2,N/A
2,56824.0,4.63216,False,4,N/A
3,66758.0,4.70507,False,5,N/A
4,40822.0,4.57917,False,2,N/A
5,56456.0,4.61514,False,4,N/A
6,27462.0,4.62467,False,1,N/A
7,48504.0,4.58081,False,3,N/A
8,37646.0,4.56528,False,2,N/A
9,59972.0,4.55988,False,5,N/A
10,56690.0,4.56856,False,4,N/A
11,57418.0,4.55444,False,4,N/A
12,73564.0,4.60142,False,6,N/A
13,62500.0,4.61528,False,5,N/A
14,35920.0,4.56980,False,2,N/A
15,34398.0,4.57700,False,2,N/A
16,56960.0,4.50497,False,4,N/A
17,41408.0,4.58299,False,2,N/A
18,42796.0,4.53603,False,3,N/A
19,43704.0,4.65111,False,3,N/A
20,44290.0,4.56950,False,3,N/A
21,24820.0,4.65360,False,1,N/A
22,74566.0,4.60180,False,6,N/A
23,77016.0,4.57094,False,6,N/A
24,70666.0,4.56532,False,5,N/A
25,46028.0,4.73908,False,3,N/A
26,43136.0,4.57090,False,3,N/A
27,36988.0,4.65942,False,2,N/A
28,21154.0,4.62355,False,1,N/A
29,57586.0,4.58555,False,4,N/A
30,50026.0,9.58753,False,3,N/A

==== SUMMARY METRICS ====
BestFitness,21154.0000
WorstFitness,77016.0000
MeanFitness,49353.8000
StDevFitness,14671.8139
MedianFitness,47266.0000

Feasibility,0.0%
AverageViolations,3.3

MinTimeSec,4.5050
MaxTimeSec,9.5875
MeanTimeSec,4.7674
StDevTimeSec,0.8964
MedianTimeSec,4.5843

==== HYPERPARAMETERS ====
Temp,1000.0
Alpha,0.95
MaxIter,100000
PenaltyFactor,10000.0
RandomSeed,
