==== RUN-LEVEL RESULTS ====
Run,BestFitness,TimeSec,Feasible?,Violations,BestUnfitness
1,20607.0,0.80503,True,0,N/A
2,38023.0,0.82653,False,1,N/A
3,37282.0,0.81016,False,1,N/A
4,44267.0,0.81581,False,2,N/A
5,32689.0,0.87041,False,1,N/A
6,24660.0,0.86836,True,0,N/A
7,34900.0,0.82179,False,1,N/A
8,50120.0,0.85153,False,2,N/A
9,28819.0,0.82094,False,1,N/A
10,41108.0,0.82092,False,2,N/A
11,46286.0,0.81416,False,2,N/A
12,43874.0,0.83091,False,2,N/A
13,35290.0,0.81748,False,1,N/A
14,23847.0,0.80476,True,0,N/A
15,47729.0,0.81711,False,2,N/A
16,64825.0,0.83599,False,4,N/A
17,22503.0,0.94358,True,0,N/A
18,63439.0,0.88506,False,4,N/A
19,35437.0,0.84305,False,1,N/A
20,42632.0,0.83107,False,2,N/A
21,25059.0,0.89024,True,0,N/A
22,39559.0,0.83022,False,1,N/A
23,21759.0,0.82004,True,0,N/A
24,42449.0,0.89943,False,2,N/A
25,44471.0,0.85347,False,2,N/A
26,46520.0,0.82502,False,2,N/A
27,46991.0,0.88352,False,2,N/A
28,67183.0,0.82371,False,4,N/A
29,43328.0,0.84388,False,2,N/A
30,26706.0,0.89033,True,0,N/A

==== SUMMARY METRICS ====
BestFitness,20607.0000
WorstFitness,67183.0000
MeanFitness,39412.0667
StDevFitness,12159.8161
MedianFitness,40333.5000

Feasibility,23.3%
AverageViolations,1.5

MinTimeSec,0.8048
MaxTimeSec,0.9436
MeanTimeSec,0.8432
StDevTimeSec,0.0332
MedianTimeSec,0.8306

==== HYPERPARAMETERS ====
Temp,1000.0
Alpha,0.95
MaxIter,100000
PenaltyFactor,10000.0
RandomSeed,
